,year,sex,age,read_write,head_house,home_dept,mex_port,fellow_travs,trans_crossm,coyote_usd,country,deported,first_citynew,second_citynew,long_citynew,deported_place,mex_port_lat,mex_port_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long,deported_lat,deported_long
43,2017,Hombre,22,Sí,Sí,Cortés,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec, Oaxaca",14.679726,-92.150326,14.9055599,-92.26342059999999,16.5611267,-95.0963141,16.5611267,-95.0963141,16.5611267,-95.0963141
44,2017,Hombre,47,Aprobó de básicos-secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
45,2017,Hombre,23,Aprobó de básicos-secundaria en adelante,No,La Paz,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Frontera Comalapa , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,15.6604331,-92.1425385,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
46,2017,Hombre,34,Aprobó de básicos-secundaria en adelante,Sí,Cortés,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
47,2017,Mujer,35,Aprobó de básicos-secundaria en adelante,No,La Paz,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,14.9055599,-92.26342059999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
48,2017,Hombre,34,Sí,No,Colón,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Chiapa de Corzo , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,16.7021616,-93.0081378,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
49,2017,Mujer,22,Aprobó de básicos-secundaria en adelante,No,Intubucá,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,1500,El Salvador,Mexico,"Palenque , Chiapas","Frontera , Tabasco","Balancán , Tabasco","Balancán, Tabasco",14.679726,-92.150326,17.5229209,-91.9872616,18.5333932,-92.64605859999999,17.8081844,-91.53568489999999,17.8081844,-91.53568489999999
50,2017,Hombre,23,Aprobó de básicos-secundaria en adelante,No,Lempira,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Ocosingo , Chiapas","Villahermosa , Tabasco","Cárdenas , Tabasco","Cárdenas, Tabasco",14.679726,-92.150326,16.9087258,-92.0943351,17.989456,-92.9475061,18.0012067,-93.37323390000002,18.0012067,-93.37323390000002
51,2017,Hombre,23,Aprobó de básicos-secundaria en adelante,No,Colón,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Chiapa de Corzo , Chiapas","Monterrey , Nuevo León","Monterrey , Nuevo León","Monterrey, Nuevo León",14.679726,-92.150326,16.7021616,-93.0081378,25.6866142,-100.3161126,25.6866142,-100.3161126,25.6866142,-100.3161126
52,2017,Hombre,26,Aprobó de básicos-secundaria en adelante,No,Colón,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Las Rosas , Chiapas","Pijijiapan , Chiapas","Pijijiapan , Chiapas","Pijijiapan, Chiapas",14.679726,-92.150326,16.3607767,-92.36729059999999,15.6851709,-93.2122536,15.6851709,-93.2122536,15.6851709,-93.2122536
