,mex_port,mex_port_lat,mex_port_long,index,sum,city_lat,city_long
64,"Unión Juárez, Chiapas",15.071193,-92.091311,"Montemorelos , Nuevo León",3.0,25.1889176,-99.8363028
65,"Frontera Corozal, Chiapas",16.814734,-90.884703,"Delicias , Chihuahua",3.0,28.1871201,-105.4595306
66,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Ciudad Altamirano , Guerrero",3.0,18.3578156,-100.6686262
67,"Frontera Corozal, Chiapas",16.814734,-90.884703,Otras Ciudades de Tamaulipas,3.0,24.26694,-98.8362755
68,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Altamira , Tamaulipas",3.0,22.4077462,-97.92115550000001
69,"El Martillo, Tabasco",17.278333,-91.021111,"Allende , Veracruz de Ignacio de la Llave",3.0,18.1465313,-94.38221089999999
70,"El Martillo, Tabasco",17.278333,-91.021111,"Tepic , Nayarit",4.0,21.5041651,-104.8945887
71,"Frontera Corozal, Chiapas",16.814734,-90.884703,"Naco , Sonora",4.0,31.3260273,-109.9470019
72,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Iztapalapa , Distrito Federal",4.0,19.342083,-99.05321590000001
73,"Talismán, Chiapas",14.962767999999999,-92.148176,"Tecate , Baja California",4.0,32.563609,-116.6256752
74,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579," Ciudad Victoria , Tamaulipas",4.0,23.7369164,-99.14111539999999
75,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Hermosillo , Sonora",4.0,29.0729673,-110.9559192
76,"Talismán, Chiapas",14.962767999999999,-92.148176,"Berriozábal , Chiapas",4.0,16.7978347,-93.2734517
77,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Alto Lucero , Veracruz de Ignacio de la Llave",4.0,19.6242712,-96.7343456
78,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579," Matehuala , San Luis Potosí",4.0,23.6448029,-100.64279
79,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Ciudad Río Bravo , Tamaulipas",4.0,25.9860315,-98.09563279999999
80,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Ciudad de Libres , Puebla",4.0,19.4682032,-97.68465669999999
81,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Abasolo , Guanajuato",4.0,20.4536351,-101.5269589
82,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Comalcalco , Tabasco",4.0,18.261156,-93.2216864
